keyword_id,keyword,cluster,target_page,country,device,language,active,valid_from,valid_to,created_at,updated_at,catalogue_version,build_id,approval_status,approved_by,approved_at
k032,arch support shoes singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/arch-support-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k027,ballet flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k038,benefits of arch support shoes,foot comfort education & arch support,https://sunnystep.com/blogs/news/benefits-of-arch-support-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k005,best comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/most-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k017,best office shoes for women singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/best-office-shoes-for-women-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k048,best shoes for long work hours singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/work-shoes-for-long-hours-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k044,best travel shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-travel-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k055,best walking shoes for women singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k042,comfortable ballerina flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k050,comfortable city walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k025,comfortable commuting shoes singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-commuting-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k026,comfortable flats singapore,everyday flats & loafers,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k029,comfortable heels singapore,everyday flats & loafers,https://sunnystep.com/collections/heels,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k047,comfortable leather shoes women singapore,everyday flats & loafers,https://sunnystep.com/collections/all,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k053,comfortable loafers for work singapore,everyday flats & loafers,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k028,comfortable loafers singapore,everyday flats & loafers,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k041,comfortable mules singapore,everyday flats & loafers,https://sunnystep.com/collections/mules,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k015,comfortable office shoes singapore,work / office comfort shoes,https://sunnystep.com/collections/work-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k009,comfortable sandals singapore,comfortable shoes (discovery),https://sunnystep.com/collections/sandals,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k006,comfortable shoe brands singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-shoe-brands-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k003,comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k008,comfortable sneakers singapore,comfortable shoes (discovery),https://sunnystep.com/collections/sneakers,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k043,comfortable travel shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-travel-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k001,comfortable walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k018,comfortable work flats singapore,work / office comfort shoes,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k014,comfortable work shoes,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-work-shoes-women-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k013,comfortable work shoes women singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-work-shoes-women-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k049,desk to dinner shoes singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/desk-to-dinner-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k037,how to tell if you need arch support,foot comfort education & arch support,https://sunnystep.com/blogs/news/how-to-tell-if-you-need-arch-support,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k052,most comfortable office shoes singapore,work / office comfort shoes,https://sunnystep.com/collections/work-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k002,most comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/most-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k046,most comfortable walking shoes for women singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k019,office loafers singapore,work / office comfort shoes,https://sunnystep.com/collections/loafers,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k012,office shoes that don't hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/office-shoes-that-dont-hurt,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k011,office shoes that dont hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/office-shoes-that-dont-hurt,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k034,shoes for aching feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-aching-feet-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k039,shoes for bunions singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-bunions-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k036,shoes for flat feet singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-flat-feet-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k033,shoes for foot pain singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-foot-pain-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k022,shoes for nurses singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-nurses-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k035,shoes for plantar fasciitis singapore,foot comfort education & arch support,https://sunnystep.com/blogs/news/shoes-for-plantar-fasciitis-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k024,shoes for retail workers singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k021,shoes for standing all day singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-standing-all-day-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
k023,shoes for teachers singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/shoes-for-teachers-singapore,sgp,all,en,1,2026-01-01,,2026-09-15T10:18:38+00:00,2026-09-17T14:05:16+00:00,candidate-v0.1,,provisional,,
