question_candidate_id,parent_keyword,source_candidate_id,template_question,phrasing_1,phrasing_2,human_pick,custom_question,proposed_target_page,intent,llm_rationale,risk_flags,reviewed_by,decision,decision_reason
33b8f9930e476f10f758f920d84390ace2f8796d7afedca0a09596177f126c38,scholl shoes singapore,73219e24c28e55474d1860b0d58cabd6c0fb16ff8d557022aa6b4a2ac84233f0,What should I look for in shoes if I need more comfort for scholl shoes at work?,What should I look for if I want comfortable work shoes similar to Scholl-style comfort footwear in Singapore?,How do comfort work shoes in Singapore compare with Scholl-style options?,,,https://sunnystep.com/,problem_situation,Competitor parent kept as comparison context; non-Sunnystep-branded question.,"[""competitor_keyword_parent""]",Maliki (coding-agent review),rejected,Competitor-led (Scholl); homepage target; weak Sunnystep answer win for GEO pilot.
349259db33be8c932449699fe779aa306a0fbe75dd169ae70940872c368d6d7a,where to buy on cloud shoes in singapore,62d9e7fdd2b6c2ac192d8022f4527f4e996e4c8f34757c1df9dcb7360654ca23,What should I look for in shoes if I need more comfort for where to buy on cloud shoes in at work?,"Where can I buy On Cloud-style shoes in Singapore, and what comfort features should I compare?",What should I look for when shopping for On Cloud alternatives in Singapore?,,,https://sunnystep.com/pages/store-locations,problem_situation,Fix broken template; keep where-to-buy/competitor discovery intent.,"[""competitor_keyword_parent""]",Maliki (coding-agent review),rejected,Competitor/navigational (On Cloud where to buy); tracks rival demand more than our offer.
2267e39a98bba38a76f815029bbf1912f8498b25d27b7d3bb738e4fe2a4cefb6,best work shoes with arch support,83a3e3a93d03851e8a8b2e58e2aa7daf0da9545acdd0499c8322e7b86af95eb6,What should I look for in shoes if I need more comfort for best work shoes with arch support at work?,What should I look for in work shoes with arch support for long days on my feet?,How do I choose comfortable work shoes with arch support?,2,,https://sunnystep.com/products/balance-walker?variant=44204239552572,problem_situation,Untangle template; keep arch-support work intent as shopping criteria.,"[""arch_support_ymyl_keep_shopping_frame""]",Maliki (coding-agent review),selected,Work + arch-support angle; shopping criteria framing.
77f174888d5600e04e8c17512db179be652677fd6cf36ea797fff53d9ac62313,most comfortable walking shoes for women with arch support,4feadc44012c5d009bfccfdd9f345f3c0aed15a1c093718f95e77d44eab510fa,What should I look for in shoes if I need more comfort for most comfortable walking shoes for women with arch support at work?,What should I look for in women's walking shoes with arch support for work days?,How do I choose comfortable women's walking shoes with arch support?,2,,https://sunnystep.com/products/balance-walker,problem_situation,Naturalize overlong template; keep women's walking + arch support.,"[""arch_support_ymyl_keep_shopping_frame""]",Maliki (coding-agent review),selected,Women walking + arch-support variant; keep separate from core category.
dda76b5a1c512a7fdfee70db4e731edaa39f3003434c94c49cbd98172aa1c38d,mules singapore,128ed6653d93c29000e3894ad0577cf2982fab9d11995c1a8bc294c027e73970,What should I look for in shoes if I need more comfort for mules at work?,What should I look for in mules if I need more comfort at work?,Can mules be comfortable enough for a full work day?,2,,https://sunnystep.com/collections/mules,problem_situation,Simple comfort-at-work phrasing for mules Singapore parent.,[],Maliki (coding-agent review),selected,Natural all-day mule comfort question; aligns with mule experiment theme.
d27e868fa12599e5fc834fc627dc10002518d7f987dafd703fa298aaac598d74,comfortable ladies shoes singapore,763af0816b426bd04e44839e835b5523da1fe9af04283b3160c9dddd386e4972,How do I choose comfortable ladies shoes that stay comfortable in Singapore's heat and humidity?,How do I choose comfortable women's shoes for Singapore's heat and humidity?,What makes ladies' shoes comfortable for everyday walking in Singapore?,,,https://sunnystep.com/collections/walking-shoes-women,product_selection,Cleaner shopper phrasing; keep Singapore comfort context.,[],Maliki (coding-agent review),rejected,Near-duplicate of walking shoes for women; keep the clearer category question instead.
4fcfff5ed8120b3ecd5b9535eec0ec1e37de7cc3cb8be5474705d603437461a6,best walking sandals,2875d948d51f91c7caec38df5b938251a7dad54aa2d286bfae2662add789e6ce,How do I choose best walking sandals that stay comfortable in Singapore's heat and humidity?,What should I look for in walking sandals that stay comfortable in Singapore heat and humidity?,How do I choose walking sandals for all-day wear in Singapore?,2,,https://sunnystep.com/products/balance-crossover-sandal,product_selection,Naturalize awkward 'best walking sandals' template; keep climate + selection intent.,[],Maliki (coding-agent review),selected,Core walking-sandal selection; climate fit; strong product target.
8eb2e0a05cb9813aeb1d21877060ebf2b675223e7ff44c7dd0fa414f6b684bb8,walking shoes for women,dece481e87aed668b489d87d6176f575a55c520bc8a0df37e03d6ae3bf591ba7,How do I choose walking shoes for women that stay comfortable in Singapore's heat and humidity?,How do I choose women's walking shoes for Singapore heat and humidity?,What makes walking shoes for women comfortable in Singapore?,1,,https://sunnystep.com/collections/walking-shoes-women,product_selection,Natural product-selection phrasing tied to parent keyword.,[],Maliki (coding-agent review),selected,Core women walking category; Singapore context; collection target.
c7eb5d502952f830916842d7a8aece5970aa4816f6df057432bb577b77378c18,mens mules,5083f4e9c22dc9175b4fac4f0980ded17443a763102989c76ad623bc4b59343d,How do I choose mens mules that stay comfortable in Singapore's heat and humidity?,How do I choose men's mules that stay comfortable in Singapore weather?,"What should I look for in men's mules for hot, humid days?",1,,https://sunnystep.com/collections/men-mules,product_selection,Fix stilted template; keep men's mules + climate.,[],Maliki (coding-agent review),selected,Distinct mens mules category; good collection target.
e59c0ab6e14c1fbe664338569001767275558e2579e006427a5f0437fd78f0ba,sliders slippers,5276a2c70d76f7f693252fa7377bb59c0da69f696fa746a15789c463e815dcc2,How do cushioned everyday shoes compare with sliders slippers for all-day comfort?,How do sliders/slippers compare with cushioned everyday shoes for all-day comfort?,Are cushioned everyday shoes more comfortable than sliders for long days on your feet?,1,,https://sunnystep.com/collections/sliders,comparison,Natural comparison for sliders vs cushioned shoes.,[],Maliki (coding-agent review),selected,Category comparison; sliders collection target.
