portfolio_slot,text,strategic_lane,gsc_impressions,gsc_clicks,serper_validation_status,proposed_target_page,proposed_action,decision_reason,id
1,where to buy on cloud shoes in singapore,competitor_discovery,34,1,validated,https://sunnystep.com/pages/store-locations,optimize_existing,ting_relabel_v2:promote_to_selected:Explicit competitor purchase query with evidence; true competitor_discovery vs false On/slip-on.,62d9e7fdd2b6c2ac192d8022f4527f4e996e4c8f34757c1df9dcb7360654ca23
2,scholl shoes singapore,commercial_discovery,59,4,validated,https://sunnystep.com/,optimize_existing,ting_relabel_v2:promote_to_selected:Comfort-category competitor with clicks+impressions; strategic comparison/category opportunity.,73219e24c28e55474d1860b0d58cabd6c0fb16ff8d557022aa6b4a2ac84233f0
3,most comfortable walking shoes for women with arch support,need_state,1,1,validated,https://sunnystep.com/products/balance-walker,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",4feadc44012c5d009bfccfdd9f345f3c0aed15a1c093718f95e77d44eab510fa
4,best walking sandals,commercial_discovery,1,1,validated,https://sunnystep.com/products/balance-crossover-sandal,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",2875d948d51f91c7caec38df5b938251a7dad54aa2d286bfae2662add789e6ce
5,mules singapore,product_category,118,1,validated,https://sunnystep.com/collections/mules,consolidate_competing_pages,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",128ed6653d93c29000e3894ad0577cf2982fab9d11995c1a8bc294c027e73970
6,walking shoes for women,product_category,12,0,validated,https://sunnystep.com/collections/walking-shoes-women,consolidate_competing_pages,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",dece481e87aed668b489d87d6176f575a55c520bc8a0df37e03d6ae3bf591ba7
7,shoe shop near me,local_store,368,2,validated,https://sunnystep.com/pages/store-locations,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",919ffd4ae7590b138fe7004ca042e4c6f79c5db6456e6c6c09d8bb556a2ee5a1
8,mens mules,product_category,53,1,validated,https://sunnystep.com/collections/men-mules,consolidate_competing_pages,ting_relabel_v2:promote_to_selected:Audience extension of mules family already proving out; use_case/product coverage.,5083f4e9c22dc9175b4fac4f0980ded17443a763102989c76ad623bc4b59343d
9,best work shoes with arch support,need_state,1,0,validated,https://sunnystep.com/products/balance-walker?variant=44204239552572,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",83a3e3a93d03851e8a8b2e58e2aa7daf0da9545acdd0499c8322e7b86af95eb6
10,formal shoe,product_category,1,1,validated,https://sunnystep.com/products/balance-hazel-loafer?variant=45419533434940,optimize_existing,"ting_promote_after_serper:ting_promote_awaiting_serper:Category bridge to dress/formal comfort;existing_clicks_worth_protecting,business_relevant,page_type_product,commercial_page_weight",f4ad5edacc9f0fc9c540d97b6938f8de10ba5479d52d8610b9d150d15edd29a3
11,sliders slippers,product_category,15,0,validated,https://sunnystep.com/collections/sliders,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",5276a2c70d76f7f693252fa7377bb59c0da69f696fa746a15789c463e815dcc2
12,best comfortable walking shoes,commercial_discovery,1,0,validated,https://sunnystep.com/products/balance-walker?variant=44204239585340,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",ca25e51b6944f7341febfd2484daa69ce00470d30d3865b2c888af841a74cdb5
13,best mules for walking,commercial_discovery,1,0,validated,https://sunnystep.com/collections/mules,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",3c19f48ce357a93904a809d9ddb001c8369b9b92dfb9cb1b0459d4489151e95f
14,best shoes for walking and standing all day women's,commercial_discovery,1,0,validated,https://sunnystep.com/products/balance-walker,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",25ed51105d0bd7d1abafbbd274f3fcb3d1c5fd4939c47f3702a501b7101345f7
15,best women shoes for standing all day,commercial_discovery,1,0,validated,https://sunnystep.com/products/balance-walker?variant=44204238307388,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",36c41bc1e2c90eb6c644e8b77aeb253662b503378a7043a0b20ec43cf7d90b7b
16,flats with cushion and arch support,need_state,1,0,validated,https://sunnystep.com/products/balance-flex-ballerina?variant=44204229328956,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",2c83baf7da2721e295a1ad3eb1bb2b0f6058dd4ba4b6d0e49780d563b4dd283c
17,comfortable ladies shoes singapore,product_category,18,0,validated,https://sunnystep.com/collections/walking-shoes-women,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",763af0816b426bd04e44839e835b5523da1fe9af04283b3160c9dddd386e4972
18,loafers for walking,product_category,1,0,validated,https://sunnystep.com/products/balance-penny-loafer?variant=44204233687100,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",ba39ded65d073bc6a0b0f12e1164f176013fa2738e752c52cb9d3333cf76e0e2
19,arch support sandals,need_state,1,0,validated,https://sunnystep.com/products/balance-crossover-sandal?variant=44204250824764,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",954b8b5c48b3ebe42504c2e15fb5f7fa6cf965fbeda2faa3575c866ffa16f8cb
20,most comfortable white sneakers to wear with dresses,product_category,1,0,validated,https://my.sunnystep.com/products/balance-runner,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",5995dabb46a44af398c767d45b9a7817bec089fa0bdbae0cb5bd04fc672e8800
21,mules,product_category,39,0,validated,https://sunnystep.com/collections/mules,consolidate_competing_pages,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",4ee9e88337a9b9d9f1db1c80a177c1f516d0aefc6e55b499301cf33b20f695e6
22,walking shoes singapore,product_category,33,2,validated,https://sunnystep.com/,optimize_existing,"ting_relabel_v2:promote_to_selected:High commercial intent + geo; stronger evidence than thin ""best shoe for X"" clones.",659c6e4f896dc2f7ae9919c6aaba123949b5bd4d119890ce45d993ce49583564
23,comfortable shoes for women,product_category,13,0,validated,https://sunnystep.com/collections/walking-shoes-women,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",941cfd482806f0c2629fa88fc66669a994276753e79738d2db9d9381c311536b
24,shoe shop singapore,local_store,151,2,validated,https://sunnystep.com/pages/store-locations,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",271e97d3386bcf0ee145781c4b7a41a21b6ac255212fd2dcfa01feb673b64a13
25,suntec shoe shop,local_store,102,0,validated,https://sunnystep.com/pages/store-locations,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",c593573e50b86d7d8d548651537b2babe74cdc3f607c47bc90367613af113347
26,arch support formal shoes,need_state,1,0,validated,https://sunnystep.com/products/balance-dress-derby?variant=44204223758396,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",5d6a0086343bc376e5d3f5f2421a94692c5760eeffece3344bc1713cc89d6048
27,oxford walking shoes,product_category,1,0,validated,https://sunnystep.com/products/balance-oxford,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",979b94b78c296e2949945f7a0462acce5400e565d7e93945355162edf383c1cb
28,stylish walking shoes for travel,product_category,1,0,validated,https://sunnystep.com/products/balance-walker?variant=44204239487036,optimize_existing,"ting_relabel_v2:keep:Retain as portfolio primary: on-brand intent, actionable target, useful lane coverage.",21f507539f6144d93ebdbaf1d70fb182c8f32363da6ab63182ef7a6519fe8b57
