keyword_id,keyword,cluster,target_page,country,device,language,active,valid_from,valid_to
k001,comfortable walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,
k002,most comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/most-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,
k003,comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,
k004,walking shoes singapore,comfortable shoes (discovery),https://sunnystep.com/collections/walking-shoes,sgp,all,en,1,2026-01-01,
k005,best comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/most-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,
k006,comfortable shoe brands singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/comfortable-shoe-brands-singapore,sgp,all,en,1,2026-01-01,
k007,stylish comfortable shoes singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/stylish-comfortable-shoes-singapore,sgp,all,en,1,2026-01-01,
k008,comfortable sneakers singapore,comfortable shoes (discovery),https://sunnystep.com/collections/sneakers,sgp,all,en,1,2026-01-01,
k009,comfortable sandals singapore,comfortable shoes (discovery),https://sunnystep.com/collections/sandals,sgp,all,en,1,2026-01-01,
k010,shoes for walking long distances singapore,comfortable shoes (discovery),https://sunnystep.com/blogs/news/shoes-for-walking-long-distances-singapore,sgp,all,en,1,2026-01-01,
k011,office shoes that dont hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/office-shoes-that-dont-hurt,sgp,all,en,1,2026-01-01,
k012,office shoes that don't hurt,work / office comfort shoes,https://sunnystep.com/blogs/news/office-shoes-that-dont-hurt,sgp,all,en,1,2026-01-01,
k013,comfortable work shoes women singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-work-shoes-women-singapore,sgp,all,en,1,2026-01-01,
k014,comfortable work shoes,work / office comfort shoes,https://sunnystep.com/blogs/news/comfortable-work-shoes-women-singapore,sgp,all,en,1,2026-01-01,
k015,comfortable office shoes singapore,work / office comfort shoes,https://sunnystep.com/collections/work-shoes,sgp,all,en,1,2026-01-01,
k016,work shoes for long hours singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/work-shoes-for-long-hours-singapore,sgp,all,en,1,2026-01-01,
k017,best office shoes for women singapore,work / office comfort shoes,https://sunnystep.com/blogs/news/best-office-shoes-for-women-singapore,sgp,all,en,1,2026-01-01,
k018,comfortable work flats singapore,work / office comfort shoes,https://sunnystep.com/collections/flats,sgp,all,en,1,2026-01-01,
